# This are all pin location assignments derived from the CDROM file

GPIO_0[0],PIN_A13
DRAM_DQ[0],PIN_U1
DRAM_DQ[1],PIN_U2
DRAM_DQ[2],PIN_V1
DRAM_DQ[3],PIN_V2
DRAM_DQ[4],PIN_W1
DRAM_DQ[5],PIN_W2
DRAM_DQ[6],PIN_Y1
DRAM_DQ[7],PIN_Y2
DRAM_DQ[8],PIN_N1
DRAM_DQ[9],PIN_N2
DRAM_DQ[10],PIN_P1
DRAM_DQ[11],PIN_P2
DRAM_DQ[12],PIN_R1
DRAM_DQ[13],PIN_R2
DRAM_DQ[14],PIN_T1
DRAM_DQ[15],PIN_T2
DRAM_LDQM,PIN_R7
DRAM_RAS_N,PIN_T5
DRAM_UDQM,PIN_M5
DRAM_WE_N,PIN_R8
FL_ADDR[0],PIN_AB20
FL_ADDR[1],PIN_AA14
FL_ADDR[2],PIN_Y16
FL_ADDR[3],PIN_R15
FL_ADDR[4],PIN_T15
FL_ADDR[5],PIN_U15
FL_ADDR[6],PIN_V15
FL_ADDR[7],PIN_W15
FL_ADDR[8],PIN_R14
FL_ADDR[9],PIN_Y13
FL_ADDR[10],PIN_R12
FL_ADDR[11],PIN_T12
FL_ADDR[12],PIN_AB14
FL_ADDR[13],PIN_AA13
FL_ADDR[14],PIN_AB13
FL_ADDR[15],PIN_AA12
FL_ADDR[16],PIN_AB12
FL_ADDR[17],PIN_AA20
FL_ADDR[18],PIN_U14
FL_ADDR[19],PIN_V14
FL_ADDR[20],PIN_U13
FL_ADDR[21],PIN_R13
FL_DQ[0],PIN_AB16
FL_DQ[1],PIN_AA16
FL_DQ[2],PIN_AB17
FL_DQ[3],PIN_AA17
FL_DQ[4],PIN_AB18
FL_DQ[5],PIN_AA18
FL_DQ[6],PIN_AB19
FL_DQ[7],PIN_AA19
FL_OE_N,PIN_AA15
FL_RST_N,PIN_W14
FL_WE_N,PIN_Y14
SRAM_ADDR[0],PIN_AA3
SRAM_ADDR[1],PIN_AB3
SRAM_ADDR[2],PIN_AA4
SRAM_ADDR[3],PIN_AB4
SRAM_ADDR[4],PIN_AA5
SRAM_ADDR[5],PIN_AB10
SRAM_ADDR[6],PIN_AA11
SRAM_ADDR[7],PIN_AB11
SRAM_ADDR[8],PIN_V11
SRAM_ADDR[9],PIN_W11
SRAM_ADDR[10],PIN_R11
SRAM_ADDR[11],PIN_T11
SRAM_ADDR[12],PIN_Y10
SRAM_ADDR[13],PIN_U10
SRAM_ADDR[14],PIN_R10
SRAM_ADDR[15],PIN_T7
SRAM_ADDR[16],PIN_Y6
SRAM_ADDR[17],PIN_Y5
SRAM_CE_N,PIN_AB5
SRAM_DQ[0],PIN_AA6
SRAM_DQ[1],PIN_AB6
SRAM_DQ[2],PIN_AA7
SRAM_DQ[3],PIN_AB7
SRAM_DQ[4],PIN_AA8
SRAM_DQ[5],PIN_AB8
SRAM_DQ[6],PIN_AA9
SRAM_DQ[7],PIN_AB9
SRAM_DQ[8],PIN_Y9
SRAM_DQ[9],PIN_W9
SRAM_DQ[10],PIN_V9
SRAM_DQ[11],PIN_U9
SRAM_DQ[12],PIN_R9
SRAM_DQ[13],PIN_W8
SRAM_DQ[14],PIN_V8
SRAM_DQ[15],PIN_U8
SRAM_LB_N,PIN_Y7
SRAM_OE_N,PIN_T8
SRAM_UB_N,PIN_W7
SRAM_WE_N,PIN_AA10
